,model,dataset,accuracy,accuracy,f1,f1,roc_auc,roc_auc,log_loss,log_loss,ks,ks,fold,fold,train_time_s,train_time_s,rmse,rmse,mae,mae,r2,r2,f1_macro,f1_macro,f1_weighted,f1_weighted,roc_auc_ovr,roc_auc_ovr
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
42,kan,credit_g,0.76375,0.05562148865321745,0.837651892440898,0.039143240569002626,0.7967261904761904,0.0665019745323424,0.4868539404125108,0.08324450546499404,0.5071428571428571,0.1315024971094912,2.0,1.5811388300841898,0.3329190078031388,0.0728209739874073,,,,,,,,,,,,
43,kan,give_me_some_credit,0.93645,0.0007672495519711985,0.26997158137061705,0.01720887828483475,0.8311236671279646,0.0036563741872882877,0.18879785539045632,0.0011894103829472192,0.5242350572083839,0.00627568059503173,2.0,1.5811388300841898,56.380003849597415,15.925891289205785,,,,,,,,,,,,
44,kan,helena,0.36699536039636454,0.005737946439674149,,,,,2.632807901075613,0.01954115963287095,,,2.0,1.5811388300841898,20.14781873179745,0.8151639045231932,,,,,,,0.21751110564902393,0.010498846162309854,0.3388273966058136,0.006310345264420894,0.8994747452437304,0.002090997660431158
45,kan,higgs,0.7250382457929627,0.003214315634545713,0.7417071781052978,0.0074527710740525215,0.8039703126100795,0.00251744183105941,0.5366050512450667,0.0034123493847817094,0.45301462102078965,0.003990687941105538,2.0,1.5811388300841898,30.425841819400375,1.8323765652914654,,,,,,,,,,,,
46,kan,jannis,0.7151642699660398,0.00494570924775925,,,,,0.6967093802396997,0.0076491230219988635,,,2.0,1.5811388300841898,28.678754479198687,2.520512204389714,,,,,,,0.5692313198119479,0.015835637664839308,0.7114372965759717,0.005797787922837592,0.8709780942831685,0.003263522094114787
47,kan,kin8nm,,,,,,,,,,,2.0,1.5811388300841898,5.348089190199244,0.7751342545483522,0.15002121231468854,0.0027985656092110673,0.11464258381917795,0.0025546037039818736,0.6746631165287317,0.02712165232867432,,,,,,
48,kan,magictelescope,0.8400000000000001,0.0086958586637694,0.8336768060061133,0.00919635824867301,0.9193152240370338,0.0037395073729024376,0.3547803022441869,0.006773440949334082,0.6872897196261682,0.01499119023909366,2.0,1.5811388300841898,5.402964510199672,0.611563438577585,,,,,,,,,,,,
49,kan,phoneme,0.858431010490259,0.015402744393763589,0.7531303936458595,0.02778924241506891,0.9240564898682637,0.013791251440177463,0.31829828746508115,0.027755545537787616,0.7049261589139149,0.03216388088662354,2.0,1.5811388300841898,3.505577368802915,0.57963192109798,,,,,,,,,,,,
50,kan,superconduct,,,,,,,,,,,2.0,1.5811388300841898,11.986155212398444,0.6527303898358685,0.8527548755402041,0.010031005350904414,0.6274603627883,0.00747119322293561,0.16019797101577887,0.010176264550698881,,,,,,
51,kan,telco_customer_churn,0.8084861962392494,0.010778284362984225,0.6052325361981545,0.03848024889344756,0.8475210279721541,0.015332342276714634,0.4145633768940556,0.016279455601997183,0.5446101632159147,0.04103532115438741,2.0,1.5811388300841898,1.5666869699998642,0.15811248942039377,,,,,,,,,,,,
52,kan,wine_quality,,,,,,,,,,,2.0,1.5811388300841898,4.802015116601251,1.8940032012748673,0.6672609697752941,0.016745269821325657,0.45677158160509557,0.0217103999436934,0.41903029349690757,0.0206631832616035,,,,,,
53,kan,year_prediction,,,,,,,,,,,2.0,1.5811388300841898,219.67235121159973,8.182511161751622,8.901026585601315,0.13176242539105817,6.138574632263184,0.07588639647223254,0.33295154528990806,0.009325460412063575,,,,,,
