dataset,task_type,model,family,train_size,n_train,n_val,n_test,seed,fit_time_s,roc_auc,ks,log_loss,accuracy,rmse,mae,r2
higgs,binary,xgboost,gbdt,500,450,50,19610,2,0.024,0.696099,0.294195,0.657326,0.62769,,,
higgs,binary,xgboost,gbdt,1000,900,100,19610,0,0.061,0.72974,0.330913,0.634895,0.660734,,,
higgs,binary,xgboost,gbdt,1000,900,100,19610,1,0.08,0.720771,0.329801,0.620792,0.657726,,,
higgs,binary,xgboost,gbdt,1000,900,100,19610,2,0.077,0.733765,0.344073,0.613985,0.667517,,,
higgs,binary,xgboost,gbdt,2000,1800,200,19610,0,0.044,0.738821,0.351021,0.665919,0.622794,,,
higgs,binary,xgboost,gbdt,2000,1800,200,19610,1,0.035,0.731706,0.344647,0.681088,0.547425,,,
higgs,binary,xgboost,gbdt,2000,1800,200,19610,2,0.044,0.728369,0.324804,0.66778,0.625242,,,
higgs,binary,xgboost,gbdt,4000,3600,400,19610,0,0.44,0.767137,0.393575,0.573728,0.695614,,,
higgs,binary,xgboost,gbdt,4000,3600,400,19610,1,0.059,0.743942,0.360079,0.676581,0.567466,,,
higgs,binary,xgboost,gbdt,4000,3600,400,19610,2,0.153,0.759359,0.377257,0.617486,0.685926,,,
higgs,binary,xgboost,gbdt,8000,7200,800,19610,0,0.154,0.766745,0.390949,0.641849,0.68613,,,
higgs,binary,xgboost,gbdt,8000,7200,800,19610,1,0.486,0.775462,0.4126,0.570887,0.703519,,,
higgs,binary,xgboost,gbdt,8000,7200,800,19610,2,0.442,0.777753,0.410247,0.572714,0.703621,,,
higgs,binary,xgboost,gbdt,16000,14400,1600,19610,0,1.013,0.786715,0.425688,0.558361,0.711219,,,
higgs,binary,xgboost,gbdt,16000,14400,1600,19610,1,1.55,0.791812,0.432187,0.548214,0.715553,,,
higgs,binary,xgboost,gbdt,16000,14400,1600,19610,2,1.084,0.788919,0.430151,0.552841,0.71591,,,
higgs,binary,xgboost,gbdt,32000,28800,3200,19610,0,2.748,0.802348,0.451336,0.5368,0.725497,,,
higgs,binary,xgboost,gbdt,32000,28800,3200,19610,1,0.296,0.77926,0.41168,0.666175,0.633554,,,
higgs,binary,xgboost,gbdt,32000,28800,3200,19610,2,1.839,0.798529,0.444866,0.542427,0.721112,,,
higgs,binary,xgboost,gbdt,64000,57600,6400,19610,0,4.876,0.809134,0.460782,0.528901,0.730648,,,
higgs,binary,xgboost,gbdt,64000,57600,6400,19610,1,6.066,0.809188,0.460539,0.528476,0.729526,,,
higgs,binary,xgboost,gbdt,64000,57600,6400,19610,2,7.235,0.810542,0.464955,0.526976,0.73024,,,
higgs,binary,xgboost,gbdt,78440,70596,7844,19610,0,7.908,0.812731,0.4667,0.524483,0.733809,,,
higgs,binary,xgboost,gbdt,78440,70596,7844,19610,1,9.039,0.81218,0.46411,0.524715,0.730291,,,
higgs,binary,xgboost,gbdt,78440,70596,7844,19610,2,7.049,0.811394,0.464064,0.526011,0.730444,,,
higgs,binary,catboost,gbdt,500,450,50,19610,0,0.164,0.622657,0.180812,0.685424,0.588577,,,
higgs,binary,catboost,gbdt,500,450,50,19610,1,0.295,0.682725,0.274947,0.662389,0.630648,,,
higgs,binary,catboost,gbdt,500,450,50,19610,2,0.133,0.65109,0.233309,0.686954,0.607292,,,
higgs,binary,catboost,gbdt,1000,900,100,19610,0,0.189,0.703102,0.297753,0.66898,0.642325,,,
higgs,binary,catboost,gbdt,1000,900,100,19610,1,0.646,0.716732,0.330403,0.620268,0.654003,,,
higgs,binary,catboost,gbdt,1000,900,100,19610,2,0.219,0.710108,0.311372,0.649457,0.651402,,,
higgs,binary,catboost,gbdt,2000,1800,200,19610,0,0.406,0.739527,0.353535,0.616364,0.672769,,,
higgs,binary,catboost,gbdt,2000,1800,200,19610,1,0.542,0.73938,0.357487,0.605435,0.669862,,,
higgs,binary,catboost,gbdt,2000,1800,200,19610,2,0.465,0.744324,0.35753,0.603122,0.678735,,,
higgs,binary,catboost,gbdt,4000,3600,400,19610,0,0.759,0.760917,0.381513,0.58556,0.690209,,,
higgs,binary,catboost,gbdt,4000,3600,400,19610,1,1.193,0.760862,0.382045,0.57976,0.691076,,,
higgs,binary,catboost,gbdt,4000,3600,400,19610,2,1.376,0.765623,0.388985,0.57602,0.694391,,,
higgs,binary,catboost,gbdt,8000,7200,800,19610,0,2.353,0.778495,0.4074,0.56252,0.700918,,,
higgs,binary,catboost,gbdt,8000,7200,800,19610,1,1.085,0.77415,0.401203,0.569513,0.699388,,,
higgs,binary,catboost,gbdt,8000,7200,800,19610,2,0.793,0.772475,0.400016,0.574832,0.699082,,,
higgs,binary,catboost,gbdt,16000,14400,1600,19610,0,2.887,0.787233,0.423217,0.554944,0.711321,,,
higgs,binary,catboost,gbdt,16000,14400,1600,19610,1,5.126,0.790888,0.429157,0.548841,0.714227,,,
higgs,binary,catboost,gbdt,16000,14400,1600,19610,2,2.416,0.786786,0.42721,0.555718,0.712596,,,
higgs,binary,catboost,gbdt,32000,28800,3200,19610,0,5.835,0.801028,0.447047,0.539177,0.723406,,,
higgs,binary,catboost,gbdt,32000,28800,3200,19610,1,4.408,0.796982,0.438337,0.543085,0.719021,,,
higgs,binary,catboost,gbdt,32000,28800,3200,19610,2,3.8,0.796298,0.442209,0.54495,0.717185,,,
higgs,binary,catboost,gbdt,64000,57600,6400,19610,0,9.912,0.809216,0.462467,0.52918,0.72973,,,
higgs,binary,catboost,gbdt,64000,57600,6400,19610,1,10.592,0.808708,0.458618,0.529498,0.72718,,,
higgs,binary,catboost,gbdt,64000,57600,6400,19610,2,11.472,0.809527,0.462199,0.528763,0.729016,,,
